更新时间,#genre#
20240903-01-37-33,url


ELEVEN体育2,#genre#
ELEVEN体育2,rtmp://f13h.mine.nu/sat/tv741


天元围棋,#genre#
天元围棋,http://110.40.33.162:88/live/yh.php?id=tywq
天元围棋,http://125.89.163.44:8888/udp/239.253.43.98:5146
天元围棋,http://ddns.cyruslee.top:8888/udp/239.253.43.98:5146
天元围棋,http://iptvcyp.top:9901/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0
天元围棋,http://wouu.net:9977/udp/239.93.42.55:5140


CHC动作电影,#genre#
CHC动作电影,http://1.lexlong.top:8001/udp/239.110.205.6:9770
CHC动作电影,http://111.165.221.48:8000/udp/225.1.1.215:5002
CHC动作电影,http://111.167.38.165:5002/udp/225.1.1.215:5002
CHC动作电影,http://118.254.201.45:8888/udp/239.76.245.243:1234
CHC动作电影,http://119.98.71.95:8888/udp/239.69.1.242:11094
CHC动作电影,http://123.189.36.186:9901/tsfile/live/1101_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://124.94.193.136:9902/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://218.76.32.193:9901/tsfile/live/1020_1.m3u8
CHC动作电影,http://58.19.38.162:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://61.185.200.157:10000/rtp/239.112.205.207:5140
CHC动作电影,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
CHC动作电影,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
CHC动作电影,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000004000018653/1.m3u8
CHC动作电影,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010003/1.m3u8
CHC动作电影,http://gzly.hkychina.com:6003/udp/239.252.219.85:5140
CHC动作电影,http://iptvcyp.top:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://summer-xa.icopylock.com:8888/udp/239.112.205.207:5140
CHC动作电影,http://www.yao87.com:4022/udp/239.76.245.243:1234
CHC动作电影,http://xuys.top:8888/udp/225.1.1.215:5002
CHC动作电影,http://xuys.top:8888/udp/225.1.1.221:5002
CHC动作电影,https://pi.0472.org/chc/dz.m3u8


纬来体育,#genre#
纬来体育,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8585/.m3u8
纬来体育,https://cloud.yumixiu768.com/tmp/123.m3u8
纬来体育,rtmp://f13h.mine.nu/sat/tv721
纬来体育,rtmp://f13h.mine.nu/sat/tv771


足球频道,#genre#
足球频道,https://epg.pw/stream/c7df950876e6a1ceb8be74ee86f9f702cebbbae29f1d15124ef8f86fd43161cf.m3u8
足球频道,https://nmglive.imfc.cn/5n1r1c/182396.m3u8


睛彩竞技,#genre#
睛彩竞技,http://223.72.16.224:8887/udp/228.1.1.223:8002
睛彩竞技,http://39.134.67.108/PLTV/88888888/224/3221225897/1.m3u8
睛彩竞技,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226124/index.m3u8
睛彩竞技,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226472/index.m3u8


CHC家庭影院,#genre#
CHC家庭影院,http://1.lexlong.top:8001/udp/239.112.205.205:5140
CHC家庭影院,http://111.167.38.165:5002/udp/225.1.1.213:5002
CHC家庭影院,http://118.254.201.45:8888/udp/239.76.245.241:1234
CHC家庭影院,http://119.98.71.95:8888/udp/239.69.1.243:11100
CHC家庭影院,http://218.76.32.193:9901/tsfile/live/1018_1.m3u8
CHC家庭影院,http://58.19.38.162:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://61.185.200.157:10000/rtp/239.112.205.205:5140
CHC家庭影院,http://gzly.hkychina.com:6003/udp/239.252.219.84:5140
CHC家庭影院,http://iptvcyp.top:9901/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://summer-xa.icopylock.com:8888/udp/239.112.205.205:5140
CHC家庭影院,http://www.yao87.com:4022/udp/239.76.245.241:1234
CHC家庭影院,http://xuys.top:8888/udp/225.1.1.213:5002
CHC家庭影院,http://xuys.top:8888/udp/225.1.1.220:5002
CHC家庭影院,https://pi.0472.org/chc/jt.m3u8


睛彩篮球,#genre#
睛彩篮球,http://223.72.16.224:8887/udp/228.1.1.224:8002
睛彩篮球,http://39.134.67.108/PLTV/88888888/224/3221225895/1.m3u8
睛彩篮球,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226147/index.m3u8
睛彩篮球,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226469/index.m3u8


超级体育,#genre#
